Siglas de la Institución,Institución,Nombre de la UC,Código del expediente,Clave CUCOP,Título del expediente,Número del procedimiento,Fecha de fallo,Fecha de publicación,Fecha de apertura,Carácter del procedimiento,Tipo de contratación,Tipo de procedimiento,Forma de participación,Código del contrato,Título del contrato,Descripción del contrato,Fecha de inicio del contrato,Fecha de fin del contrato,Importe del contrato,Moneda del contrato,Estatus del contrato,Convenio modificatorio,Contrato plurianual,RFC,Proveedor o contratista,Estratificación de la empresa,Clave del país de la empresa,Dirección del anuncio
INP,Instituto Nacional de Pediatría,INP-Subdirección de Servicios Generales #012NCZ002,2177342,3540,"MANTENIMIENTO Y CALIBRACIÓN DE 101 MICRO PIPETAS , DE DIFERENTES MARCAS",AA-012NCZ002-E133-2020,,2020-12-02 15:43,2020-10-08 11:59,Nacional,Servicios,ADJUDICACIÓN DIRECTA,Presencial,2392781,"MANTENIMIENTO Y CALIBRACIÓN DE 101 MICRO PIPETAS , DE DIFERENTES MARCAS","MANTENIMIENTO Y CALIBRACIÓN DE 101 MICRO PIPETAS , DE DIFERENTES MARCAS

",2020-10-09,2020-12-19,75720,MXN,Expirado,0,0,KAL030113MZ6,KALY-VAL,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1922476
CINVESTAV,Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional,"CINVESTAV-Unidad Saltillo, Subdirección Administrativa #011L4J996",2171491,3540,SERVICIO DE CALIBRACION DE MAQUINAS CON SISTEMA DE MEDICIÓN,AA-011L4J996-E81-2020,,2020-10-08 17:58,2020-10-09 18:10,Nacional,Servicios,ADJUDICACIÓN DIRECTA,Electrónica,2388343,SERVICIO DE CALIBRACION DE MAQUINAS CON SISTEMA DE MEDICION,"2. SERVICIOS     SERVICIO DE CALIBRACION A MAQUINA CON SISTEMA DE MEDICION DE FUERZA MARCA: MTS MODELO: 318.10 N/S 1287883, INTERVALO DE CALIBRACION: 0 A 100 KN, SENTIDO DE LA CALIBRACION; TENSIÓN Y COMPRESIÓN. MARCA MTS MODELO QTEST N/S: M10175688, INTERVALO DE CALIBRACION: 0 A 100 KN, SENTIDO DE LA CALIBRACION; TENSIÓN Y COMPRESIÓN

2. SERVICIOS     SERVICIO DE CALIBRACION A MAQUINA CON SISTEMA DE MEDICION EN DESPLAZAMIENTO MARCA: MTS EXTENSOMETRO, INTERVALO DE CALIBRACION: 0 A 12 MM, SENTIDO DE LA CALIBRACION: TENSIÓN Y COMPRESIÓN. MARCA MTS LVDT, INTERVALO DE CALIBRACION: +-100MM, SENTIDO DE LA CALIBRACION; TENSIÓN Y COMPRESIÓN INCLUYE GASTOS DE TRASLADO

",2020-10-10,2021-10-09,47497.06,MXN,Expirado,0,0,,GRUPO CTT SA DE CV,,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1899526
INCMNSZ,Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,INCMNSZ-Subdirección de Recursos Materiales y Servicios Generales #012NCG001,2161088,3540,SERVICIO DE MANTENIMIENTO CORRECTIVO QUE INCLUYE CABLE DE CONEXIÓN PARA MOTOR C-,AA-012NCG001-E1075-2020,,2020-09-23 11:19,2020-09-11 00:00,Nacional,Servicios,ADJUDICACIÓN DIRECTA,Presencial,2375916,SERVICIO DE MANTENIMIENTO CORRECTIVO QUE INCLUYE CABLE DE CONEXIÓN PARA MOTOR C-,SERVICIO DE MANTENIMIENTO CORRECTIVO QUE INCLUYE CABLE DE CONEXIÓN PARA MOTOR C-,2020-09-14,2020-09-18,134463.09,MXN,Expirado,0,0,KSE940831N79,KARL STORZ ENDOSCOPIA MEXICO SA DE CV,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1890809
INER,Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas,INER-Departamento de Adquisiciones #012NCD001,2165442,5310,CAMPANA DE BIOSEGURIDAD CLASE II A2 DE 6 PIES,AA-012NCD001-E522-2020,,2020-09-30 11:33,2020-09-28 12:00,Nacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Presencial,2379751,CAMPANA DE BIOSEGURIDAD CLASE II A2 DE 6 PIES ,CAMPANA DE BIOSEGURIDAD CLASE II A2 DE 6 PIES ,2020-09-28,2020-12-31,255504,MXN,Expirado,0,0,ABA040721TS9,ABALAT SA DE CV,No MIPYME,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1894301
IMSS,Instituto Mexicano del Seguro Social,IMSS-DA-UADQ-CABCS-DEMM #050GYR040,2145917,5310,AA-050GYR040-E46-2020_Eq. Méd COVID 19 Tabasco,AA-050GYR040-E46-2020,,2020-08-12 17:30,2020-08-19 12:00,Internacional,,ADJUDICACIÓN DIRECTA,Electrónica,2375825,20BI0114_CAMPAS EQ_E46_2020,20BI0114_CAMPAS EQ_E46_2020,2020-10-02,2020-12-31,56000,MXN,Expirado,0,0,CEQ160218IA3,CAMPAS EQUIPOS SA DE CV,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1877272
INCMNSZ,Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,INCMNSZ-Subdirección de Recursos Materiales y Servicios Generales #012NCG001,2160882,3540,SERVICIO DE MANTENIMIENTO CORRECTIVO A HISTEROSCOPIO,AA-012NCG001-E1072-2020,,2020-09-23 09:04,2020-09-11 00:00,Nacional,Servicios,ADJUDICACIÓN DIRECTA,Presencial,2375767,SERVICIO DE MANTENIMIENTO CORRECTIVO A HISTEROSCOPIO,SERVICIO DE MANTENIMIENTO CORRECTIVO A HISTEROSCOPIO,2020-09-14,2020-09-15,62613.05,MXN,Expirado,0,0,KSE940831N79,KARL STORZ ENDOSCOPIA MEXICO SA DE CV,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1890673
SGM,Servicio Geológico Mexicano,SGM-Subgerencia de Adquisiciones #010LAU001,2126505,3540,MANTENIMIENTO PREVENTIVO A MINISPLIT Y AIRES ACONDICIONADOS,AA-010LAU001-E64-2020,,2020-06-25 12:03,2020-06-25 14:00,Nacional,Servicios,ADJUDICACIÓN DIRECTA,Electrónica,2375790,MANTENIMIENTO PREVENTIVO A MINISPLIT Y AIRES ACONDICIONADOS,MANTENIMIENTO PREVENTIVO A 27 EQUIPOS DE MINISPLIT Y AIRES ACONDICIONADOS,2020-06-25,2020-11-30,28850,MXN,Expirado,0,0,,MIGUEL BECERRA VARGAS,,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1861238
INCMNSZ,Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,INCMNSZ-Subdirección de Recursos Materiales y Servicios Generales #012NCG001,2160896,3540,SERVICIO DE MANTENIMIENTO CORRECTIVO A MESAS DE RIÑON,AA-012NCG001-E1073-2020,,2020-09-23 09:37,2020-09-01 00:00,Nacional,Servicios,ADJUDICACIÓN DIRECTA,Presencial,2375788,SERVICIO DE MANTENIMIENTO CORRECTIVO A MESAS DE RIÑON,SERVICIO DE MANTENIMIENTO CORRECTIVO A MESAS DE RIÑON,2020-09-07,2020-09-10,72000,MXN,Expirado,0,0,IPE1806227S2,INDUSTRIAS PERMO SA DE CV,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1890697
SEDENA,Secretaría de la Defensa Nacional,SEDENA-Jefatura de Adquisiciones #007000997,2145770,5310,ADQUISICIÓN DE MAQUINAS DE PRUEBAS Y 1 EQUIPO DE PRUEBAS DE HERMETICIDAD,LA-007000997-E433-2020,2020-10-13,2020-08-31 18:36,2020-09-28 10:00,Internacional,Adquisiciones,LICITACIÓN PÚBLICA,Electrónica,2395914,"ADQUISICIÓN DE 1 MAQUINA DE PRUEBAS JOLT, 1 MAQUINA DE PRUEBAS JUMBLE Y EQUIPO DE PRUEBAS DE HERMETICIDAD.","ADQUISICIÓN DE 1 MAQUINA DE PRUEBAS JOLT, 1 MAQUINA DE PRUEBAS JUMBLE Y EQUIPO DE PRUEBAS DE HERMETICIDAD.",2020-10-20,2021-10-29,2280000,MXN,Expirado,0,0,ETZ0702146L8,ETZNAB SA DE CV,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1883495
SEDENA,Secretaría de la Defensa Nacional,SEDENA-Jefatura de Adquisiciones #007000997,2145770,5310,ADQUISICIÓN DE MAQUINAS DE PRUEBAS Y 1 EQUIPO DE PRUEBAS DE HERMETICIDAD,LA-007000997-E433-2020,2020-10-13,2020-08-31 18:36,2020-09-28 10:00,Internacional,Adquisiciones,LICITACIÓN PÚBLICA,Electrónica,2395917,"ADQUISICIÓN DE 1 MAQUINA DE PRUEBAS JOLT, 1 MAQUINA DE PRUEBAS JUMBLE Y EQUIPO DE PRUEBAS DE HERMETICIDAD.","ADQUISICIÓN DE 1 MAQUINA DE PRUEBAS JOLT, 1 MAQUINA DE PRUEBAS JUMBLE Y EQUIPO DE PRUEBAS DE HERMETICIDAD.",2020-10-20,2021-10-29,4325000,MXN,Expirado,0,0,OTR150413594,OSMAFREMX TRADING SA DE CV,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1883495
INER,Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas,INER-Departamento de Adquisiciones #012NCD001,2161754,5310,MONITOR DE SIGNOS VITALES PORTATIL BASICO MARCA: PHILIPS,AA-012NCD001-E497-2020,,2020-09-23 16:41,2020-09-10 12:00,Nacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Presencial,2376450,MONITOR DE SIGNOS VITALES PORTATIL BASICO MARCA: PHILIPS ,"MONITOR DE SIGNOS VITALES PORTATIL BASICO MARCA: PHILIPS 

",2020-09-10,2020-12-31,164510,MXN,Expirado,0,0,HSM970707RA5,HEALTHCARE SYSTEMS DE MEXICO SA DE CV,No MIPYME,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1891329
IMSS,Instituto Mexicano del Seguro Social,IMSS-Departamento de Adquisición de Bienes y Contratación de Servicios #050GYR029,2147775,5310,ADQUISICION DE BIENES DE INVERSIÓN (MOBILIARIO Y EQUIPO MÉDICO) UCIN,AA-050GYR029-E499-2020,,2020-08-18 09:34,2020-09-02 10:00,Nacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Electrónica,2384121,CONTRATO BI20011 ADQUISICION DE BIENES DE INVERSIÓN (MOBILIARIO Y EQUIPO MÉDICO) UCIN,CONTRATO BI20011 ADQUISICION DE BIENES DE INVERSIÓN (MOBILIARIO Y EQUIPO MÉDICO) UCIN,2020-09-12,2021-01-01,187200,MXN,Expirado,0,0,BET121221GS1,BIOS EQUIPAMIENTO TECNICO SA DE CV,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1878977
INER,Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas,INER-Departamento de Adquisiciones #012NCD001,2165458,5310,TERMOCICLADOR DE PUNTO FINAL,AA-012NCD001-E523-2020,,2020-09-30 11:46,2020-09-28 12:00,Nacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Presencial,2379772,TERMOCICLADOR DE PUNTO FINAL ,TERMOCICLADOR DE PUNTO FINAL,2020-09-28,2020-12-31,170872,MXN,Expirado,0,0,LTI960220FP5,LAB TECH INSTRUMENTACION SA DE CV,No MIPYME,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1894316
SEDENA,Secretaría de la Defensa Nacional,SEDENA-Subdirección de Adquisiciones #007000999,2126992,5310,"EQUIPAMIENTO MÉDICO HOSP. GRAL. DR. C. CALERO ELORDUY (CUERNAVACA, MOR.)",AA-007000999-E372-2020,,2020-10-08 17:41,2020-05-05 12:00,Internacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Presencial,2385828,"EQUIPAMIENTO MÉDICO HOSP. GRAL. DR. C. CALERO ELORDUY (CUERNAVACA, MOR.)","EQUIPAMIENTO MÉDICO HOSP. GRAL. DR. C. CALERO ELORDUY (CUERNAVACA, MOR.)",2020-05-05,2020-12-31,5915000,MXN,Expirado,0,0,HSM970707RA5,HEALTHCARE SYSTEMS DE MEXICO SA DE CV,No MIPYME,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1899510
SEDENA,Secretaría de la Defensa Nacional,SEDENA-Subdirección de Adquisiciones #007000999,2126992,5310,"EQUIPAMIENTO MÉDICO HOSP. GRAL. DR. C. CALERO ELORDUY (CUERNAVACA, MOR.)",AA-007000999-E372-2020,,2020-10-08 17:41,2020-05-05 12:00,Internacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Presencial,2385835,"EQUIPAMIENTO MÉDICO HOSP. GRAL. DR. C. CALERO ELORDUY (CUERNAVACA, MOR.)","EQUIPAMIENTO MÉDICO HOSP. GRAL. DR. C. CALERO ELORDUY (CUERNAVACA, MOR.)",2020-05-05,2020-12-31,1773050,MXN,Expirado,0,0,IMA090213JU6,IMAGYMED SA DE CV,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1899510
SEDENA,Secretaría de la Defensa Nacional,SEDENA-Subdirección de Adquisiciones #007000999,2126992,5310,"EQUIPAMIENTO MÉDICO HOSP. GRAL. DR. C. CALERO ELORDUY (CUERNAVACA, MOR.)",AA-007000999-E372-2020,,2020-10-08 17:41,2020-05-05 12:00,Internacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Presencial,2385820,"EQUIPAMIENTO MÉDICO HOSP. GRAL. DR. C. CALERO ELORDUY (CUERNAVACA, MOR.)","EQUIPAMIENTO MÉDICO HOSP. GRAL. DR. C. CALERO ELORDUY (CUERNAVACA, MOR.)",2020-05-05,2020-12-31,328610,MXN,Expirado,0,0,EEI1404233Q0,ESD ENGINEERING AND INDUSTRIAL SERVICES DE MEXICO S DE RL DE CV,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1899510
INER,Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas,INER-Departamento de Adquisiciones #012NCD001,2165474,2950,FILTROS PARA EQUIPO CER OPTIMA Y FILTROS MEDIVATORS,AA-012NCD001-E524-2020,,2020-09-30 12:02,2020-09-28 12:00,Nacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Presencial,2379788,FILTROS PARA EQUIPO CER OPTIMA Y FILTROS MEDIVATORS,FILTROS PARA EQUIPO CER OPTIMA Y FILTROS MEDIVATORS,2020-09-28,2020-12-31,150500,MXN,Expirado,0,0,MME070126FLA,MAINEQ DE MEXICO SA DE CV,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1894340
INCMNSZ,Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,INCMNSZ-Subdirección de Recursos Materiales y Servicios Generales #012NCG001,2161469,3540,SERVICIO DE MANTENIMIENTO CORRECTIVO A DESFRIBRILADOR BIFASICO MARCA ZOLL MODELO,AA-012NCG001-E1077-2020,,2020-10-07 11:44,2020-09-11 00:00,Nacional,Servicios,ADJUDICACIÓN DIRECTA,Presencial,2376260,SERVICIO DE MANTENIMIENTO CORRECTIVO A DESFRIBRILADOR BIFASICO MARCA ZOLL MODELO,"SERVICIO DE MANTENIMIENTO CORRECTIVO A DESFRIBRILADOR BIFASICO MARCA ZOLL MODELO R SERIES, SE INCLUYE ACONDICONADOR PARA 1 BATERIA",2020-09-14,2020-09-18,64000,MXN,Expirado,0,0,BIO090619UG7,BIOABAST SA DE CV,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1891114
HJM,Hospital Juárez de México,HJM-Dirección de Administración #012NAW001,2157582,5310,SOLICITUD DE COTIZACIÓN PARA LA ADQUISICIÓN DE EQUIPO DE LAB. (INVESTIGACIÓN),AA-012NAW001-E556-2020,,2020-09-09 16:58,2020-09-11 10:00,Nacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Electrónica,2386051,P20-000552 EQUIPO MEDICO Y DE LABORATORIO,P20-000552 EQUIPO MEDICO Y DE LABORATORIO,2020-10-06,2020-11-24,276288,MXN,Expirado,0,0,BRI130731UT5,BIO RESEARCH IMPORTACIONES SA DE CV,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1887752
SEDENA,Secretaría de la Defensa Nacional,SEDENA-Subdirección de Adquisiciones #007000999,2126992,5310,"EQUIPAMIENTO MÉDICO HOSP. GRAL. DR. C. CALERO ELORDUY (CUERNAVACA, MOR.)",AA-007000999-E372-2020,,2020-10-08 17:41,2020-05-05 12:00,Internacional,Adquisiciones,ADJUDICACIÓN DIRECTA,Presencial,2385853,"EQUIPAMIENTO MÉDICO HOSP. GRAL. DR. C. CALERO ELORDUY (CUERNAVACA, MOR.)","EQUIPAMIENTO MÉDICO HOSP. GRAL. DR. C. CALERO ELORDUY (CUERNAVACA, MOR.)",2020-05-05,2020-12-31,1201800,MXN,Expirado,0,0,ITH090813GB4,INTEGRACION TECNOLOGICA HOSPITALARIA,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1899510
CRAE,Centro Regional de Alta Especialidad de Chiapas,CRAE-Subdirección de Recursos Materiales #012M7A001,2161016,3540,POLIZA DE MANTENIMIENTO PREVENTIVO/CORRECTIVO A EQUIPO RAYOS X,AA-012M7A001-E182-2020,,2020-09-23 10:40,2020-08-01 00:00,Nacional,Servicios,ADJUDICACIÓN DIRECTA,Electrónica,2375856,POLIZA DE MANTENIMIENTO PREVENTIVO/CORRECTIVO A EQUIPO RAYOS X  ,"POLIZA DE MANTENIMIENTO PREVENTIVO/CORRECTIVO A EQUIPO RAYOS X

 ",2020-08-01,2020-12-31,278728,MXN,Expirado,0,0,EME7905301M7,ELECTRONICA Y MEDICINA SA,No MIPYME,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1890753
