Siglas de la Institución,Institución,Nombre de la UC,Código del expediente,Clave CUCOP,Título del expediente,Número del procedimiento,Fecha de fallo,Fecha de publicación,Fecha de apertura,Carácter del procedimiento,Tipo de contratación,Tipo de procedimiento,Forma de participación,Código del contrato,Título del contrato,Descripción del contrato,Fecha de inicio del contrato,Fecha de fin del contrato,Importe del contrato,Moneda del contrato,Estatus del contrato,Convenio modificatorio,Contrato plurianual,RFC,Proveedor o contratista,Estratificación de la empresa,Clave del país de la empresa,Dirección del anuncio
HRAEI,Hospital Regional de Alta Especialidad de Ixtapaluca,HRAEI-Hospital Regional de Alta Especialidad de Ixtapaluca #012NBU999,1743974,2950,ADQUISICIÓN DE CONSUMIBLES PARA EL SERVICIO DE INHALOTERAPIA E INGENI ,AA-012NBU999-E68-2018,,2018-07-13 18:08,2018-07-18 12:00,Internacional,Adquisiciones,Adjudicación Directa Federal,Electrónica,1896937, ADQUISICIÓN DE CONSUMIBLES PARA EL SERVICIO DE INHALOTERAPIA E INGENIERÍA BIOMÉDICA,ADQUISICIÓN DE CONSUMIBLES PARA EL SERVICIO DE INHALOTERAPIA E INGENIERÍA BIOMÉDICA,2018-07-31,2018-12-31,657680,MXN,Expirado,0,0,HME020304BP8,HI-TEC MEDICAL SA DE CV,No MIPYME,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1510332
IMSS,Instituto Mexicano del Seguro Social,IMSS-Coordinación de Abastecimiento y Equipamiento Delegación Querétaro #050GYR075,1645534,5310,IA-050GYR075-E4-2018 EQUIPOS DE ESTOMATOLOGIA,IA-050GYR075-E4-2018,2018-04-06,2018-03-22 16:26,2018-04-04 09:00,Internacional bajo TLC,Adquisiciones,Invitación a Cuando Menos 3 Personas,Electrónica,1797305,DBIQRO-001-2018 ,,2018-04-06,2018-12-31,1740450,MXN,Expirado,0,0,FAB871106638,FABRIVEN SA DE CV,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1418400
IMSS,Instituto Mexicano del Seguro Social,IMSS-UMAE Hospital de Traumatología y Ortopedia de Puebla #050GYR091,1696015,5310,CONSUMIBLE MEDICO,AA-050GYR091-E35-2018,,2018-05-24 09:52,2018-05-28 13:00,Nacional,Adquisiciones,Adjudicación Directa Federal,Electrónica,1903763,CONSUMIBLE MEDICO,,2018-08-06,2019-01-30,11460,MXN,Expirado,0,0,SEP961211Q55,SOLUCIONES Y EQUIPOS DE PUEBLA SA DE CV,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1466704
IMSS,Instituto Mexicano del Seguro Social,IMSS-Departamento de Adquisición de Bienes y Contratación de Servicios #050GYR033,1606466,2950,"AA-019GYR033-E51-2018 ADJUDICACION DIRECTA, CONSUMIBLES DE EQUIPO MEDICO",AA-019GYR033-E51-2018,,2018-02-02 16:02,2018-02-09 13:00,Internacional bajo TLC,Adquisiciones,Adjudicación Directa Federal,Electrónica,1720765,D8P0067,"CONTRATO EN FORMATO DE PEDIDO, GRUPO DE SUMINISTRO 531 APARATOS MEDICOS",2018-02-19,2018-02-28,5274,MXN,Expirado,0,0,CPM060405J4A,CORPORATIVO PROMEDICA DE MEXICO SA DE CV,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1381813
IMSS,Instituto Mexicano del Seguro Social,IMSS-Coodinación de Abastecimiento y Equipamiento Del Est Nayarit #050GYR005,1724450,5310,LA-050GYR005-E88-2018 ADQ DE EQUIPO MEDICO Y DE LABORATORIO,LA-050GYR005-E88-2018,2018-08-02,2018-07-12 14:39,2018-07-27 08:00,Internacional bajo TLC,Adquisiciones,Licitación Pública,Mixta,1890849,LA-050GYR005-E88-2018 ADQ DE EQUIPO MEDICO Y DE LABORATORIO,LA-050GYR005-E88-2018 ADQ DE EQUIPO MEDICO Y DE LABORATORIO,2018-08-10,2018-12-31,2762.58,MXN,Expirado,0,0,CPM060405J4A,CORPORATIVO PROMEDICA DE MEXICO SA DE CV,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1507787
IMSS,Instituto Mexicano del Seguro Social,IMSS-Coordinación de Abastecimiento y Equipamiento #050GYR023,1769018,5310,LA-050GYR023-E204-2018 ADQUISICIÓN DE EQUIPO MÉDICO HGZ 1,LA-050GYR023-E204-2018,2018-09-10,2018-08-16 18:52,2018-09-07 09:00,Internacional bajo TLC,Adquisiciones,Licitación Pública,Electrónica,1946752,ADQUISICIÓN DE EQUIPO MÉDICO HGZ 1 ,,2018-10-05,2018-12-31,18450,MXN,Expirado,0,0,CPM060405J4A,CORPORATIVO PROMEDICA DE MEXICO SA DE CV,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1541821
IMSS,Instituto Mexicano del Seguro Social,IMSS-Coodinación de Abastecimiento y Equipamiento Del Est Nayarit #050GYR005,1728495,5310,"LA-050GYR005-E95-2018 ADQ DE INSTRUMENTAL, MOBILIARIO Y EQUIPO MEDICO Y MOBILIAR",LA-050GYR005-E95-2018,2018-09-11,2018-08-21 14:47,2018-09-05 08:00,Internacional bajo TLC,Adquisiciones,Licitación Pública,Mixta,1938368,"LA-050GYR005-E95-2018 ADQ DE INSTRUMENTAL, MOBILIARIO Y EQUIPO MEDICO Y MOBILIAR","LA-050GYR005-E95-2018 ADQ DE INSTRUMENTAL, MOBILIARIO Y EQUIPO MEDICO Y MOBILIAR",2018-09-26,2018-12-31,14015.96,MXN,Expirado,0,0,CPM060405J4A,CORPORATIVO PROMEDICA DE MEXICO SA DE CV,Micro,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1543925
INMEGEN,Instituto Nacional de Medicina Genómica,INMEGEN-Departamento de Adquisicones #012NCH001,1749299,3540,Servicio de mantenimiento preventivo único y correctivo,AA-012NCH001-E382-2018,,2018-07-19 10:43,2018-07-12 23:00,Internacional,Servicios,Adjudicación Directa Federal,Presencial,1865052,Servicio de mantenimiento preventivo único y correctivo,"Servicio de mantenimiento preventivo único y correctivo

PEDIDO 180343",2018-07-13,2018-12-31,68475,MXN,Expirado,0,0,CLM050407M17,COMERCIALIZADORA DE LABORATORIO Y MEDICINA,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1515160
CINVESTAV,Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional,CINVESTAV-Unidad de Genòmica Avanzada- UGA #011L4J990,1791940,5310,ESPECTROFOTOMETRO RANGO UV Y VISIBLE MODELO VE-5100UV,AA-011L4J990-E185-2018,,2018-09-11 11:08,2018-09-17 10:00,Nacional,Adquisiciones,Adjudicación Directa Federal,Electrónica,1932781,ESPECTROFOTOMETRO RANGO UV Y VISIBLE MODELO VE-5100UV ,,2018-09-26,2018-10-26,43500,MXN,Expirado,0,0,CLM050407M17,COMERCIALIZADORA DE LABORATORIO Y MEDICINA,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1556077
IMSS,Instituto Mexicano del Seguro Social,IMSS-Coordinación de Abastecimiento y Equipamiento de la Delegación Sur del Distrito Federal #050GYR025,1437056,3540,MANTENIMIENTO PREVENTIVO Y CORRECTIVO A MICROSCOPIOS Y EQUIPO DE MEDICINA FISICA,LA-019GYR025-E263-2017,2017-09-22,2017-08-15 10:21,2017-09-01 15:00,Nacional,Servicios,Licitación Pública,Electrónica,1582742,MANTENIMIENTO PREVENTIO Y CORRECTIVO A MICROSCOPIOS Y EQUIPOS DE MEDICINA FÍSICA CON SUMINISTRO DE REFACCIONES ORIGINALES DE LAS UNIDADES MEDICO FAMIILARES DE LA DELEGACIÓN SUR DEL D.F. ZONAS III Y IV,MANTENIMIENTO PREVENTIO Y CORRECTIVO A MICROSCOPIOS Y EQUIPOS DE MEDICINA FÍSICA CON SUMINISTRO DE REFACCIONES ORIGINALES DE LAS UNIDADES MEDICO FAMIILARES DE LA DELEGACIÓN SUR DEL D.F. ZONAS III Y IV,2018-01-01,2018-12-31,709694.96,MXN,Expirado,0,0,ABC010403E58,ASESORIA BIOMEDICA CALIFICADA SA DE CV,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1219228
IMSS,Instituto Mexicano del Seguro Social,IMSS-Coordinación de Abastecimiento y Equipamiento de la Delegación Sur del Distrito Federal #050GYR025,1437056,3540,MANTENIMIENTO PREVENTIVO Y CORRECTIVO A MICROSCOPIOS Y EQUIPO DE MEDICINA FISICA,LA-019GYR025-E263-2017,2017-09-22,2017-08-15 10:21,2017-09-01 15:00,Nacional,Servicios,Licitación Pública,Electrónica,1582745,MANTENIMIENTO PREVENTIVO Y CORRECTIVO A MICROSCOPIOS Y EQUIPOS DE MEDICINA FÍSICA CON SUMINISTRO DE RECCIONES ORIGINALES DE LAS UNIDADES MÉDICO FAMILIARES DE LA DELEGACIÓN SUR DEL D.F. ZONAS I Y II,ANTENIMIENTO PREVENTIVO Y CORRECTIVO A MICROSCOPIOS Y EQUIPOS DE MEDICINA FÍSICA CON SUMINISTRO DE RECCIONES ORIGINALES DE LAS UNIDADES MÉDICO FAMILIARES DE LA DELEGACIÓN SUR DEL D.F. ZONAS I Y II,2018-01-01,2018-12-31,2083669.26,MXN,Expirado,0,0,ABC010403E58,ASESORIA BIOMEDICA CALIFICADA SA DE CV,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1219228
CINVESTAV,Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional,CINVESTAV-Subdirecciòn Administrativa Unidad Monterrey #011L4J992,1641644,5310,DR140318-43 ULTRASONIDO PARA LABORATORIO,AA-011L4J992-E15-2018,,2018-03-16 11:36,2018-03-16 12:00,Nacional,Adquisiciones,Adjudicación Directa Federal,Electrónica,1748410,DR140318-43 ULTRASONIDO PARA LABORATORIO,,2018-03-19,2018-05-03,25147.11,MXN,Expirado,0,0,EIM8706121T2,EQUIPOS INTERFERENCIALES DE MEXICO SA DE CV,Mediana,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1414621
IMSS,Instituto Mexicano del Seguro Social,IMSS-Departamento de Adquisición de Bienes y Contratación de Servicios #050GYR033,1689961,3540,"AA-050GYR033-E123-2018 ADJUDICACION DIRECTA 2a, MANTENIMIENTO A ULTRASONIDOS",AA-050GYR033-E123-2018,,2018-05-16 13:29,2018-05-18 13:00,Nacional,Servicios,Adjudicación Directa Federal,Electrónica,1808639,CCOA181725080028,Contrato Cerrado de adquisición del servicio de Mantenimiento Correctivo a Equipos de Ultrasonidos Terapéuticos y Fluidoterapia del H.G.R. N° 1 de Charo; dentro del ejercicio 2018,2018-05-18,2018-06-14,56551.72,MXN,Expirado,0,0,EIM8706121T2,EQUIPOS INTERFERENCIALES DE MEXICO SA DE CV,Mediana,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1461281
IMSS,Instituto Mexicano del Seguro Social,IMSS-Departamento de Abastecimiento #050GYR039,1714970,3540,AA-050GYR039-E33-2018 MANTTO. A EQUIPO MEDICO,AA-050GYR039-E33-2018,,2018-06-14 11:26,2018-07-20 07:00,Nacional,Servicios,Adjudicación Directa Federal,Electrónica,1880339,CCOA18VN25080017,AA-050GYR039-E33-2018 MANTTO. A EQUIPO MEDICO,2018-07-31,2018-12-31,149172.42,MXN,Expirado,0,0,EIM8706121T2,EQUIPOS INTERFERENCIALES DE MEXICO SA DE CV,Mediana,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1484272
SEMAR,Secretaría de Marina,SEMAR-Dirección General Adjunta de Adquisiciones #013000999,1708401,3540,INSTALACIÓN REPARACIÓN Y MANTENIMIENTO DE INSTRUMENTAL MEDICO Y LABORATORIO,AA-013000999-E1653-2018,,2018-06-06 14:04,2018-05-22 23:00,Nacional,Servicios,Adjudicación Directa Federal,Mixta,1824824,13-1900/18, INSTALACIÓN REPARACIÓN Y MANTENIMIENTO DE INSTRUMENTAL MEDICO Y LABORATORIO ,2018-06-05,2018-06-13,63836,MXN,Expirado,0,0,EIM8706121T2,EQUIPOS INTERFERENCIALES DE MEXICO SA DE CV,Mediana,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1478258
INP,Instituto Nacional de Pediatría,INP-Dirección de Administración #012NCZ002,1835651,3540,Mantenimiento correctivo,AA-012NCZ002-E128-2018,,2018-12-10 10:28,2018-11-12 10:00,Nacional,Servicios,Adjudicación Directa Federal,Presencial,1974216,Mantenimiento correctivo a equipos de hidroterapia,Mantenimiento correctivo a equipos de hidroterapia,2018-11-15,2018-11-30,57963.41,MXN,Expirado,0,0,EIM8706121T2,EQUIPOS INTERFERENCIALES DE MEXICO SA DE CV,Mediana,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1597183
CRAE,Centro Regional de Alta Especialidad de Chiapas,CRAE-CENTRO REGIONAL DE ALTA ESPECIALIDAD DE CHIAPAS #012M7A001,1686006,3540,"INSTALACION,REPARACION Y MANTENIMIENTO DE EQUIPO E INSTRUMENTAL MEDICO Y DE LABO",AA-012M7A001-E155-2018,,2018-05-10 13:45,2018-03-29 00:00,Nacional,Servicios,Adjudicación Directa Federal,Presencial,1799971,"MANTENIMIENTO CORRECTIVO A 03 ESTIMULADORES NEUROMUSCULARES, 2 UNIDADES DE ULTRASONIDO TERAPEUTICO Y UN ELECTROESTIMULADOR NEUROMUSCULAR.","MANTENIMIENTO CORRECTIVO A 03 ESTIMULADORES NEUROMUSCULARES, 2 UNIDADES DE ULTRASONIDO TERAPEUTICO Y UN ELECTROESTIMULADOR NEUROMUSCULAR.",2018-04-01,2018-04-30,40888.98,MXN,Expirado,0,0,EIM8706121T2,EQUIPOS INTERFERENCIALES DE MEXICO SA DE CV,Mediana,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1457736
SEDENA,Secretaría de la Defensa Nacional,SEDENA-Subdireccion de Adquisiciones #007000999,1719766,5310,ADQ. EQ. SUBESPECIALIDAD UROLOGINECOLOGÍA ESC. MIL. GDOS. SND. (1 PTDA. DESIERTA,AA-007000999-E606-2018,,2018-06-23 18:01,2018-06-29 11:00,Internacional bajo TLC,Adquisiciones,Adjudicación Directa Federal,Electrónica,1850393,ADQ. EQ. SUBESPECIALIDAD UROLOGINECOLOGÍA ESC. MIL. GDOS. SND. (1 PTDA. DESIERTA,ADQ. EQ. SUBESPECIALIDAD UROLOGINECOLOGÍA ESC. MIL. GDOS. SND. (1 PTDA. DESIERTA,2018-06-30,2018-12-31,423300,MXN,Expirado,0,0,EIM8706121T2,EQUIPOS INTERFERENCIALES DE MEXICO SA DE CV,Mediana,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1488369
INER,Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas,INER-DEPARTAMENTO DE ADQUISICIONES #012NCD001,1621661,2950,REFACCIONES PARA EQUIPO DE RETROALIMENTACION BIOLOGICA,AA-012NCD001-E49-2018,,2018-02-22 16:52,2018-02-21 12:00,Nacional,Adquisiciones,Adjudicación Directa Federal,Presencial,1724945,REFACCIONES PARA EQUIPO DE RETROALIMENTACION BIOLOGICA,REFACCIONES PARA EQUIPO DE RETROALIMENTACION BIOLOGICA,2018-02-21,2018-12-31,33195.17,MXN,Expirado,0,0,EIM8706121T2,EQUIPOS INTERFERENCIALES DE MEXICO SA DE CV,Mediana,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1396294
SEDENA,Secretaría de la Defensa Nacional,SEDENA-Subdireccion de Adquisiciones #007000999,1600276,5310,ADQUISICION DE EQUIPO MEDICO PARA ATENCION DEL C.H.E.M.P.,LA-007000999-E116-2018,2018-02-26,2018-01-30 11:20,2018-02-14 08:00,Internacional bajo TLC,Adquisiciones,Licitación Pública,Electrónica,1752418,ADQUISICIÓN DE EQUIPO MEDICO PARA ATENCIÓN DEL C.H.E.M.P. 2018-2019 PARTIDAS DESIERTAS.,"ADQUISICIÓN DE EQUIPO MEDICO PARA ATENCIÓN DEL C.H.E.M.P. 2018-2019 PARTIDAS DESIERTAS.

",2018-03-13,2018-12-31,75784.62,MXN,Expirado,0,0,EIM8706121T2,EQUIPOS INTERFERENCIALES DE MEXICO SA DE CV,Mediana,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1377660
IMSS,Instituto Mexicano del Seguro Social,IMSS-Hospital de Pediatria del CMN de occidente #050GYR060,1734514,5310,INV. A CUANDO MENOS TRES PERSONAS PARA EQ. MÉDICO PROGRAMA ESTÍMULO AL INGRESO  ,IA-050GYR060-E189-2018,2018-07-20,2018-07-06 16:13,2018-07-18 12:00,Internacional bajo TLC,Adquisiciones,Invitación a Cuando Menos 3 Personas,Electrónica,1867636,M180002 ELECTRO,,2018-07-23,2018-12-31,801896.55,MXN,Expirado,0,0,EIM8706121T2,EQUIPOS INTERFERENCIALES DE MEXICO SA DE CV,Mediana,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1502141
INGER,Instituto Nacional de Geriatría,INGER-INSTITUTO NACIONAL DE GERIATRIA #012NCE999,1739390,3540,Mantenimiento de Equipo Médico y de Laboratorio AD 41 Fr VII,AA-012NCE999-E14-2018,,2018-08-27 11:34,2018-07-25 11:00,Nacional,Servicios,Adjudicación Directa Federal,Electrónica,1870333,Mantenimiento preventivo a dinamómetro Isocinético y al Sistema de Evaluación del Balance,,2018-08-01,2018-09-30,42000,MXN,Expirado,0,0,EIM8706121T2,EQUIPOS INTERFERENCIALES DE MEXICO SA DE CV,Mediana,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1547188
IMSS,Instituto Mexicano del Seguro Social,IMSS-Hospital de Especialidades del CMN Manuel Avila Camacho en Puebla #050GYR046,1720125,5310,IA-050GYR046-E114-2018,IA-050GYR046-E114-2018,2018-06-29,2018-06-22 07:51,2018-06-27 09:00,Internacional,Adquisiciones,Invitación a Cuando Menos 3 Personas,Mixta,1852779,BI18001,BI18001,2018-06-29,2018-12-31,740000,MXN,Expirado,0,0,LIF030224JY6,LIFETEC SA DE CV,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1489522
HGM,"Hospital General de México ""Dr. Eduardo Liceaga""",HGM-Dirección General Adjunta de Administración y Finanzas #012NBD001,1774771,5310,Adjudicación Directa 518005 Lifetec,AA-012NBD001-E519-2018,,2018-08-13 11:35,2018-07-25 08:00,Nacional,Adquisiciones,Adjudicación Directa Federal,Presencial,1898463,PF5 518005,Adjudicación Directa 518005 Lifetec,2018-07-25,2018-08-14,705000,MXN,Expirado,0,0,LIF030224JY6,LIFETEC SA DE CV,Pequeña,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1538495
COLMICH,"El Colegio de Michoacán, A.C.",COLMICH-Departamento de Recursos Materiales #03891I999,1774368,3540,"INSTALACION, REPARACION Y MANTENIMIENTO DE EQUIPO DE LABORATORIO",AA-03891I999-E448-2018,,2018-08-15 23:44,2018-10-22 08:00,Nacional,Servicios,Adjudicación Directa Federal,Presencial,1897811,"INSTALACION, REPARACION Y MANTENIMIENTO DE EQUIPO DE LABORATORIO ",,2018-10-23,2019-10-22,370053,MXN,Activo,0,0,,PERKIN ELMER DE MEXICO SA,,MX,https://compranet.hacienda.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1540984
